Song_Name,Artist,Duration,Duration_Seconds,Genres,Genre
Twin,Jennie,3:28,208,K-Pop,Pop
Golden,Jungkook,3:20,200,K-Pop / Pop / Soundtrack,Pop
Fragile,Tatsuro Yamashita,5:25,325,City Pop,Pop
I Like Me Better,Lauv,3:17,197,Pop,Pop
Love Story,Taylor Swift,3:55,235,Country Pop,Pop
Espresso,Sabrina Carpenter,2:55,175,Pop,Pop
I Don’t Know (Radio Mix),Erika,3:20,200,Pop / R&B,Pop
Too Fast,Sonder,3:54,234,R&B,R&B
Nine Ball,Zach Bryan,3:10,190,Country,Other
C’est la vie,Khaled,4:05,245,North African Pop,Pop
Lush Life,Zara Larsson,3:21,201,Pop,Pop
self-complacent,Crowd Lu,4:08,248,Pop,Pop
Paris in the Rain,Lauv,3:24,204,Pop,Pop
Whataya Want from Me,Adam Lambert,3:47,227,Pop Rock,Rock
Now We’re Strangers,Central Cee,3:26,206,UK Drill,Other
ye huo,Yaka,2:32,152,Hip-Hop / Electronic,HipHop
Little Love Song,Leah Dou,3:36,216,Pop,Pop
Kiss Me,Sixpence None the Richer,3:28,208,Pop/Rock/Alternative Rock,Rock
Music for Airports,Brian Eno,6:40,400,Ambient,Other
Forever Young,Black Pink,3:57,237,K-pop,Pop
Only One,Kanye West,3:49,229,Hip-Hop / Soul,HipHop
Payphone,Maroon 5,3:51,231,Pop,Pop
Handwritten Past,Jay Chou,4:52,292,Pop,Pop
Mona Lisa,Dominic Fike,3:06,186,Alternative Pop / Indie Pop,Indie
Talk to Her,The Marías,5:26,326,Indie Pop,Indie
Waka Waka (This Time for Africa),Shakira,3:31,211,Pop / World Music,Pop
Viva La Vida,Coldplay,4:06,246,Pop Rock,Rock
State Lines,Novo Amor,3:28,208,Indie Folk,Indie
Piano Sonata No.14 “Moonlight” (3rd Movement),Beethoven,7:34,454,Classical Music,Classical
Who I Am / Bokurashisa,Yuika,4:08,248,J-pop,Pop
Where Are You Now, Calum Scott and Lost Frequencies,2:28,148,Pop,Pop
????,Beyond,4:00,240,Cantopop,Pop
Aria Math,C418,5:10,310,Ambient,Other
METAMORPHOSIS,INTERWORLD,2:22,142,Phonk,Other
Young and Beautiful,Lana Del Rey,3:56,236,Orchestral Pop / Classical Crossover,Pop
Golden Hour,JVKE,3:29,209,Pop,Pop
We Belong Together,Mariah Carey,3:21,201,R&B,R&B
Tonight Tonight,Hot Chelle Rae,3:24,204,Pop / Dance Rock,Pop
Telling Stories,Tracy Chapman,3:58,238,Alternative Rock / Folk,Rock
?? (Medals),Luhan,3:33,213,C-pop,Pop
Myself,NAV,3:46,226,Hip-Hop / Rap,HipHop
Starboy,The Weeknd,3:50,230,R&B / Pop,R&B
??,Ronghao Li,4:36,276,Pop,Pop
Baker Street,Gerry Rafferty,4:20,260,Soft Rock,Rock
"Hold On, We’re Going Home",Drake,3:47,227,R&B / Pop,R&B
Summer,Calvin Harris,3:42,222,EDM,Other
There’s Nothing Holdin’ Me Back,Shawn Mendes,3:19,199,Pop Rock,Rock
Here Comes the Sun,The Beatles,3:06,186,Rock / Pop Rock,Rock
PIMMIE'S DILEMMA,Drake,1:58,118,Pop,Pop
Feel the Magic in the Air,Magic System,3:54,234,Pop,Pop
Weightless,Marconi Union,8:10,490,Ambient,Other
All Your’n,Tyler Childers,3:38,218,Country / Folk,Other
For River,Kan Gao,2:59,179,Instrumental / Piano / Game Soundtrack,Other
Softcore,The Neighbourhood,3:27,207,Indie Pop,Indie
Soft Spot,Keshi,3:24,204,Pop,Pop
Magic,Medasin,5:57,357,Natural Sounds,Other
"Caligo, Miasma of Night",Soma Tanizaki,7:02,422,Symphonic,Other
City Walls,Twenty One Pilots,5:22,322,Alternative,Other
It Will Rain,Bruno Mars,4:17,257,Pop,Pop
Happy,Pharrell Williams,3:53,233,Funk / Pop,Pop
Saturday Sun,Vance Joy,3:34,214,Pop,Pop
Requiem ,Mozart,2:18,138,Classical Music,Classical
505,Arctic Monkeys,4:14,254,Indie Rock,Indie
BAND4BAND,Central Cee,2:20,140,Hip-Hop,HipHop
Spagonia,Sonic Unleashed,2:40,160,Classical Music,Classical
Vincent ,Don McLean,4:00,240,Folk,Other
DEVOTION,"Justin Bieber, Dijon",3:54,234,R&B,R&B
So Sick,Ne-Yo,3:29,209,R&B,R&B
How-to: World Domination,(Artist not specified),3:35,215,Japanese Hip-hop,HipHop
Welcome to The Black Parade,My Chemical Romance,5:14,314,Pop Punk,Other
Dynamite,BTS,3:19,199,Pop,Pop
Space Song,Beach House,5:20,320,Alternative/Indie,Indie
Adorn,Miguel,3:13,193,R&B,R&B
Saccharine,Jazmin Bean,3:12,192,Rock,Rock
Self Control,Frank Ocean,4:09,249,R&B,R&B
Fade Into You,Mazzy Star,4:55,295,Alternative Rock / Dream Pop,Other
Lucid Dream,Kevin & Ye Dam,3:38,218,Pop/Ballad,Pop
I Feel Alive,"KAJ, Velli, Bjerke",2:58,178,EDM,Other
Iron Princess,Xomu & HYP3RLAPS3,3:27,207,EDM,Other
Circles,Post Malone,3:46,226,Soft rock/pop,Pop
La La Lost You,NIKI / 88rising,3:20,200,R&B / Pop,R&B
Rewrite the Stars,"Zac Efron, Zendaya",3:37,217,Pop,Pop
"thank u, next",Ariana Grande,3:27,207,Pop,Pop
Hear You Mean,Jimmy Eat World,4:45,285,"Alternative Rock, Emo, Pop-Punk",Other
Say So,Doja Cat,3:57,237,Pop,Pop
LOVE DIVE,IVE,2:57,177,KPOP,Pop
Creep,Radiohead,3:57,237,Alternative Rock,Rock
Livin on a Prayer,Bon Jovi,4:11,251,Pop Rock,Rock
Mystery of Love,Sufjan Stevens,4:08,248,Indie Folk,Indie
The Final Countdown,Europe,4:56,296,Hard Rock,Rock
Después de la Playa,Bad Bunny,3:51,231,Merengue / Mambo,Other
Colours of the Wind,Judy Kuhn,3:51,231,Pop Ballad,Pop
All the Way North,Jay Chou,4:54,294,Pop,Pop
16,Baby Keem,2:36,156,Rap,Rap
Fontaine,Hoyomix,4:33,273,Classical,Classical
Dreams,Fleetwood Mac,4:18,258,Soft Rock,Rock
Unwritten,Natasha Bedingfield,4:19,259,Pop,Pop
Lonely Christmas,Eason Chan,4:07,247,Pop,Pop
Here Comes the Sun,The Beatles,3:06,186,Pop,Pop
Sandstorm,Darude,3:52,232,Trance,Other
Sunshine After the Rain,Amadori,4:28,268,Calming Pop,Pop
You Complete Me, Keyshia Cole,3:48,228,Pop,Pop
Birds Nest in the Sky,No Artist Specified ,3:33,213,Pop,Pop
Faded,Alan Walker,3:32,212,EDM,Other
History,Dave & James Blake,4:07,247,Rap/Hip-Hop,Rap
Wonderful U,AGA,4:08,248,Pop,Pop
Youth,Glass Animals,3:53,233,Pop,Pop
Springsteen,Eric Church,4:23,263,Country,Other
JoyRide,Cortis,2:37,157,K-pop,Pop
The Blonde,TV Girl,3:47,227,Indie Pop,Indie
I'll Believe in Anything,Wolf Parade,4:37,277,Rock,Rock
Here Comes the Sun,The Beatles,3:06,186,Pop / Soft Rock,Pop
They Don't Know About Us,One Direction,3:19,199,Pop,Pop
Home Sweet Home,The Favors,3:28,208,Indie Pop,Indie
Levitating,Dua Lipa,3:23,203,Pop,Pop
Grateful,NEFFEX,3:02,182,EDM / Hip-Hop,HipHop
Ultimate Battle,Akira Kushida,4:09,249,Rock,Rock
????,Eason Chan,4:16,256,Pop,Pop
Al Jarh Arham,Abadi Al Johar,10:18,618,Arabic Classical (Khaliji),Classical
Payphone,Maroon 5,3:51,231,Pop,Pop
Mono (feat. skaiwater),(G)I-DLE,2:51,171,"K-pop, Dance, Pop",Pop
Canon Rock,Funtwo,5:24,324,Instrumental Rock,Rock
2:00 AM,Don Toliver,2:45,165,R&B,R&B
Universal Collapse,DM DOKURO,4:16,256,Electronic,Other
Until The End,Dean Lewis,3:05,185,Pop,Pop
Clair de Lune,Claude Debussy,4:52,292,Classical,Classical
Birds of a Feather,Billie Eilish,3:30,210,Pop,Pop
Faded,Alan Walker,3:32,212,EDM,Other
Weightless,Marconi Union,8:00,480,Ambient / Relaxation,Other
Ivy,Frank Ocean,4:10,250,R&B,R&B
Riptide,Vance Joy,3:24,204,Indie Folk,Indie
Maand,Bayaan,3:05,185,Pakistani Pop,Pop
Mad Sounds,Arctic Monkeys,3:35,215,"Indie Rock, Soft Rock",Rock
OUTSIDE,SoFaygo,2:43,163,Melodic Hip-Hop,HipHop
Merry Go Round of Life,Joe Hisaishi,5:11,311,Orchestral,Classical
Mr. Blue Sky,Electric Light Orchestra,5:03,303,Symphonic Rock,Rock
maybe,lukrative & mixed matches,2:51,171,Electronic Music,Other
The Nights,Avicii,2:53,173,Electronic,Other
Happy,Pharrell Williams,3:53,233,Pop,Pop
Peace Within,John 00 Fleming,2:40,160,Techno,Other
Toronto 2014,Daniel Caesar,4:37,277,R&B/Soul,R&B
Saalouny El Nas,Fairuz,6:11,371,Arabic Classical,Classical
,Depapepe,4:32,272,J-Pop,Pop
Flower Dance,Brian Cheng,4:27,267,Classical,Classical
